,Symbol,Industry,Sector
476,USHAMART,Capital Goods,Steel
477,VGUARD,Consumer Durables,Capital Goods - Electrical Equipment
478,DBREALTY,Consumer Services,Realty
479,VTL,Textiles,Textiles
480,VBL,Fast Moving Consumer Goods,FMCG
481,MANYAVAR,Consumer Services,Readymade Garments/ Apparells
482,VEDL,Metals & Mining,Mining & Mineral products
483,VIJAYA,Healthcare,Healthcare
484,VMM,Consumer Services,Retail
485,IDEA,Telecommunication,Telecomm-Service
486,VOLTAS,Consumer Durables,Consumer Durables
487,WAAREEENER,Capital Goods,Capital Goods - Electrical Equipment
488,WELCORP,Capital Goods,Steel
489,WELSPUNLIV,Textiles,Textiles
490,WESTLIFE,Consumer Services,Quick Service Restaurant
491,WHIRLPOOL,Consumer Durables,Consumer Durables
492,WIPRO,Information Technology,IT - Software
493,WOCKPHARMA,Healthcare,Pharmaceuticals
494,YESBANK,Financial Services,Banks - Private
495,ZFCVINDIA,Automobile and Auto Components,Auto Ancillaries
496,ZEEL,Media Entertainment & Publication,Entertainment
497,ZENTEC,Capital Goods,Aerospace & Defence
498,ZENSARTECH,Information Technology,IT - Software
499,ZYDUSLIFE,Healthcare,Pharmaceuticals
500,ECLERX,Services,IT - Software
